District,Bank Name,Sishu O/S No.,Amt,Sishu NPA No.,Kishore O/S No.,Kishore NPA No.,Tarun O/S No.,Tarun NPA No.,Tarun Plus O/S No.,Tarun Plus NPA No.,Total MUDRA O/S No.,Total MUDRA NPA No.,MUDRA NPA Amt. %
Bishnupur,,2347,1643.26,1740,3240,1351,319,33,0,0,5906,3124,26.45
Chandel,,206,334.15,120,595,234,13,6,0,0,814,360,33.38
Churachandpur,,825,89753.57,416,1562,566,569,54,9,0,2965,1036,93.80
Imphal East,,5761,53370.69,4505,5422,1673,894,218,12,0,12089,6396,84.25
Imphal West,,7028,19240.85,4844,7950,3024,1813,620,16,3,16807,8491,54.03
Jiribam,,87,52.00,54,155,68,17,1,0,0,259,123,22.07
Kakching,,1111,1221.92,827,2449,1134,160,23,0,0,3720,1984,30.81
Kamjong,,131,69.93,67,50,40,1,0,0,0,182,107,59.27
Kangpokpi,,308,834.73,114,940,278,217,51,0,0,1465,443,22.67
Noney,,98,229.99,54,580,193,21,1,0,0,699,248,25.89
Pherzawl,,0,0.00,0,0,0,0,0,0,0,0,0,0.00
Senapati,,344,1464.72,268,1813,754,632,67,0,0,2789,1089,19.18
Tamenglong,,82,274.97,45,509,193,47,5,0,0,638,243,25.73
Tengnoupal,,284,544.28,158,1097,412,31,22,0,0,1412,592,38.44
Thoubal,,4225,2278.62,3062,4292,1540,521,71,1,0,9039,4673,24.76
Ukhrul,,219,512.47,85,1066,347,107,18,0,0,1392,450,22.14
