District,Sanctioned No.,ofwhichgirlstudent Sanctioned No.,Sanctioned Amt,ofwhichgirlstudent Sanctioned Amt,Disb. Number,ofwhichgirlstudent Disb No.,Disb. Amt,ofwhichgirlstudent Disb Amt,Os No.,ofwhichgirlstudent Os No.,Os amt,ofwhichgirlstudent Os Amt
Bishnupur,19,10,69.66,38.97,19,14,20.22,11.71,47,21,162.79,84.15
Chandel,5,4,8.54,7.57,10,6,14.83,10.66,16,11,40.82,20.23
Churachandpur,42,33,71.55,52.31,48,39,70.77,56.83,126,98,277.56,198.31
Imphal East,50,24,188.94,73.06,64,35,159.75,67.01,203,107,955.60,528.84
Imphal West,134,67,800.86,380.20,331,179,858.85,442.77,876,425,6097.29,3348.55
Jiribam,0,0,0.00,0.00,0,0,0.00,0.00,1,1,0.41,0.41
Kakching,12,5,22.22,7.69,13,4,18.50,3.01,59,13,81.71,27.46
Kamjong,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00
Kangpokpi,7,5,11.94,8.72,14,11,26.74,21.55,26,18,160.66,124.39
Noney,4,3,3.40,2.75,6,4,5.01,3.37,8,6,12.68,9.90
Pherzawl,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00
Senapati,3,1,24.81,20.41,11,7,30.55,26.57,56,31,245.53,121.59
Tamenglong,1,0,0.89,0.00,1,0,0.89,0.00,10,7,20.34,15.07
Tengnoupal,5,1,9.17,0.64,4,1,6.35,0.65,8,2,30.51,15.02
Thoubal,34,9,199.11,52.54,39,14,131.01,51.15,94,32,382.79,157.81
Ukhrul,2,2,3.00,3.00,6,6,5.97,5.97,13,10,29.64,26.70
