District,Micro Tl No.,Amt,Micro Wc No.,Small Tl No.,Small Wc No.,Medium Tl No.,Medium Wc No.,KVIC No.,Others Under MSMEs No.,Clf No.,Total Msme (PS) Disb No.
Bishnupur,388,2491.05,129,2,6,0,0,3,4,0,532
Chandel,150,253.85,36,0,0,0,0,0,0,0,186
Churachandpur,480,4862.31,183,6,3,1,0,1,0,0,674
Imphal East,744,9117.50,389,5,22,0,0,4,18,0,1182
Imphal West,1762,60999.36,600,95,110,4,2,31,118,0,2722
Jiribam,7,94.37,3,0,0,0,0,0,0,0,10
Kakching,194,1861.94,74,3,2,0,0,0,20,0,293
Kamjong,19,17.21,6,0,0,0,0,0,0,0,25
Kangpokpi,140,1100.66,35,4,1,0,0,1,14,0,195
Noney,18,133.43,23,1,0,0,0,0,0,0,42
Pherzawl,0,0.00,0,0,0,0,0,0,0,0,0
Senapati,397,2117.64,126,11,4,0,0,3,1,0,542
Tamenglong,17,112.23,6,0,0,0,0,0,0,0,23
Tengnoupal,34,113.15,14,1,1,0,0,2,0,0,52
Thoubal,439,3600.05,339,7,7,2,0,0,3,0,797
Ukhrul,216,929.85,144,3,1,0,0,0,0,0,364
