District,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Bishnupur,220,741.69,1129,2713.23,30,167.07,384,1922.41
Chandel,6,51.72,23,122.11,80,199.88,497,1171.00
Churachandpur,24,362.80,146,765.45,510,3857.47,6237,29167.01
Imphal East,75,439.59,481,1569.26,76,673.39,1209,7019.02
Imphal West,269,1616.04,1736,6553.02,351,2871.30,11067,29596.69
Jiribam,4,45.30,45,252.87,2,21.89,82,251.82
Kakching,355,2445.53,2809,11483.55,27,253.81,413,1785.22
Kamjong,3,19.70,8,44.84,3,30.21,20,43.74
Kangpokpi,9,55.38,92,472.24,109,854.79,1195,4385.07
Noney,5,43.88,16,77.09,47,582.68,835,2119.82
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00
Senapati,7,98.00,40,205.27,208,969.13,2200,7478.61
Tamenglong,0,0.00,4,23.35,83,819.06,1911,10540.44
Tengnoupal,9,62.21,58,286.71,91,469.94,1327,2555.05
Thoubal,32,150.07,361,1089.02,38,262.77,236,940.00
Ukhrul,7,77.25,25,159.44,292,2032.90,3138,11349.10
