District,Bank Name,Numberofoperative CASA,Numberof Aadhaarseeded CASA,Numberof Authenticated CASA
Bishnupur,BOB,290264,221715,209139
Chandel,BOI,35055,26346,21269
Churachandpur,BOM,268897,203130,122583
Imphal East,CAN,426228,321779,270447
Imphal West,CBI,857654,581459,462696
Jiribam,IND,45947,35961,14081
Kakching,IOB,177498,133659,103224
Kamjong,PNB,5465,3705,2219
Kangpokpi,PSB,100259,65947,43657
Noney,SBI,30193,23630,17390
Pherzawl,UCO,5,5,5
Senapati,UNI,123591,76313,49648
Tamenglong,Total,46019,38224,3069
Tengnoupal,AXIS,41523,31302,23697
Thoubal,BAND,319280,233210,185557
Ukhrul,HDFC,118300,92270,49308
