District,Bank Name,Inactive CSP,Ru Paycardactivein PMJDY,Firsttimeactive Ru Paycard,Aadhaar Authenticated Sb accounts,Ru Paycardissuedin KCC
Bishnupur,BOB,7,19334,14966,188538,4598
Chandel,BOI,0,1838,1226,24303,2
Churachandpur,BOM,7,11285,5948,168797,642
Imphal East,CAN,8,20034,14399,189597,2066
Imphal West,CBI,420,54341,23598,453894,3181
Jiribam,IND,0,178,133,2921,28
Kakching,IOB,0,5943,5332,75263,849
Kamjong,PNB,0,253,253,3869,0
Kangpokpi,PSB,0,6551,2921,63624,460
Noney,SBI,0,2362,2231,8793,76
Pherzawl,UCO,0,0,0,0,0
Senapati,UNI,3,3730,2767,78791,188
Tamenglong,Total,0,1097,477,4597,13
Tengnoupal,AXIS,0,3267,2951,22393,17
Thoubal,BAND,18,21056,14474,164601,2308
Ukhrul,HDFC,0,4743,4374,47735,88
