District,Farm Credit Crop No.,Farm Credit Crop Amt,Farm Credit Term Loan No.,Farm Credit Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillaryy No.,Ancillaryy Amt,Agri Total O/S No.,Agri Total O/S Amt
Bishnupur,5676,3547.61,3716,9092.27,3,7.71,567,285.69,9962,12933.28
Chandel,242,165.99,81,144.92,0,0.00,7,10.19,330,321.10
Churachandpur,2730,2344.32,1268,2036.13,0,0.00,111,516.76,4109,4897.21
Imphal East,2786,2932.01,5289,12110.98,14,37.34,1282,1966.88,9371,17047.21
Imphal West,13451,15043.37,8597,25151.35,62,177.73,1539,15143.68,23649,55516.13
Jiribam,79,45.81,32,60.21,0,0.00,15,98.61,126,204.63
Kakching,1317,1752.18,1634,3644.52,6,3.76,196,228.18,3153,5628.64
Kamjong,19,20.45,0,0.00,0,0.00,5,24.93,24,45.38
Kangpokpi,800,465.33,567,1750.41,0,0.00,56,168.14,1423,2383.88
Noney,203,145.50,389,362.96,0,0.00,32,139.14,624,647.60
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Senapati,1938,1398.98,624,1792.66,0,0.00,72,126.47,2634,3318.11
Tamenglong,186,150.74,118,97.54,0,0.00,26,36.25,330,284.53
Tengnoupal,216,126.34,339,427.88,0,0.00,64,132.22,619,686.44
Thoubal,3541,2926.90,4892,13819.21,4,7.12,448,708.11,8885,17461.34
Ukhrul,635,582.98,368,612.14,4,8.56,35,100.76,1042,1304.44
