District,NRLM O/S No.,Amt,NRLM Irregular No.,NRLM NPA No.,NULM O/S No.,NULM NPA No.,PMEGP O/S No.,PMEGP NPA No.,SHG O/S No.,SHG NPA No.,SUI O/S No.,SUI NPA No.
Bishnupur,287,6.79,6,8,18,0,678,384,582,175,5,1
Chandel,2,0.00,0,2,0,0,302,136,2,2,1,0
Churachandpur,451,169.26,16,9,16,4,399,222,303,112,45,7
Imphal East,943,930.81,17,29,11,3,858,366,940,68,43,16
Imphal West,848,1879.68,33,19,41,14,1695,878,970,106,94,32
Jiribam,76,0.00,4,2,3,2,12,7,27,1,0,0
Kakching,301,493.49,22,8,12,7,252,125,345,105,6,1
Kamjong,0,0.00,0,0,0,0,38,30,0,0,0,0
Kangpokpi,83,382.00,22,0,2,0,213,117,98,6,9,0
Noney,82,0.00,0,7,0,0,31,12,100,14,0,0
Pherzawl,0,0.00,0,0,0,0,0,0,0,0,0,0
Senapati,90,60.22,12,3,4,1,562,292,127,4,40,5
Tamenglong,30,0.00,0,0,3,2,176,106,48,6,0,0
Tengnoupal,158,0.00,7,23,0,0,83,54,113,19,0,0
Thoubal,817,18.76,78,124,82,6,538,257,860,183,15,3
Ukhrul,55,0.00,0,0,21,12,316,168,101,17,2,0
