District,Bank Name,Christians No.,Amt,Muslims No.,Buddhists No.,Sikhs No.,Zorastrian No.,Jains No.,Tot Minority No.
Bishnupur,,677,4516.77,667,6,40,1,2,1393
Chandel,,4054,19977.37,19,2,0,0,0,4075
Churachandpur,,15944,92292.35,933,18,5,0,0,16900
Imphal East,,2357,21290.36,2316,7,56,1,8,4745
Imphal West,,15006,77644.29,5085,30,135,3,27,20286
Jiribam,,129,902.03,127,1,3,0,0,260
Kakching,,787,4712.57,248,3,50,0,0,1088
Kamjong,,243,910.99,5,1,0,0,1,250
Kangpokpi,,5582,29525.41,203,4,11,0,1,5801
Noney,,1122,3488.91,3,1,1,0,0,1127
Pherzawl,,0,0.00,0,0,0,0,0,0
Senapati,,9193,45405.93,307,16,9,1,0,9526
Tamenglong,,2169,11986.92,14,1,1,0,0,2185
Tengnoupal,,2512,10795.80,262,4,5,0,0,2783
Thoubal,,387,15062.10,4064,3,29,3,1,4487
Ukhrul,,4870,22913.21,30,2,5,1,0,4908
