District,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advance,Cdr Rural,Cdr Semi-Urban,Cdr Urban,Overall CD Ratio
Bishnupur,3345.36,50160.51,0.00,53505.87,8002.03,62673.66,3885.18,74560.87,239.20,124.95,,139.35
Chandel,29477.65,0.00,0.00,29477.65,22616.52,19.47,133.70,22769.69,76.72,,,77.24
Churachandpur,148237.19,5477.70,0.00,153714.89,115621.78,2593.27,1196.96,119412.01,78.00,47.34,,77.68
Imphal East,136779.00,14642.36,56199.46,207620.82,120033.76,8441.11,54197.79,182672.66,87.76,57.65,96.44,87.98
Imphal West,38106.36,52152.54,882495.33,972754.23,42099.80,66050.81,656467.41,764618.02,110.48,126.65,74.39,78.60
Jiribam,13775.56,211.54,0.00,13987.10,5969.97,205.70,0.00,6175.67,43.34,97.24,,44.15
Kakching,1156.47,28549.11,0.00,29705.58,1633.60,46778.33,0.00,48411.93,141.26,163.85,,162.97
Kamjong,1452.39,0.00,0.00,1452.39,2089.50,0.00,0.00,2089.50,143.87,,,143.87
Kangpokpi,48741.36,0.00,0.00,48741.36,39369.29,0.00,0.00,39369.29,80.77,,,80.77
Noney,7921.58,0.00,0.00,7921.58,5187.82,0.00,0.00,5187.82,65.49,,,65.49
Pherzawl,3.39,0.00,0.00,3.39,0.00,0.00,0.00,0.00,0.00,,,0.00
Senapati,59980.18,953.62,0.00,60933.80,54369.09,1103.15,0.00,55472.24,90.65,115.68,,91.04
Tamenglong,1209.03,14537.62,0.00,15746.65,384.79,12205.55,0.00,12590.34,31.83,83.96,,79.96
Tengnoupal,6618.39,6927.18,0.00,13545.57,13924.83,4199.41,0.00,18124.24,210.40,60.62,,133.80
Thoubal,12808.39,51515.21,0.00,64323.60,18871.33,88473.87,5323.40,112668.60,147.34,171.74,,175.16
Ukhrul,2735.98,39414.88,0.00,42150.86,4859.89,23966.19,0.00,28826.08,177.63,60.80,,68.39
