District,Current Year Self-Help Group No.,Current Year Self-Help Group Amt,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA Amt,NRLM NPA Pct
Bishnupur,153,286.90,287,390.72,6,2.53,8,4.64,1.19
Chandel,0,0.00,2,0.07,0,0.00,2,0.07,100.00
Churachandpur,315,641.01,451,732.92,16,20.13,9,11.02,1.50
Imphal East,358,927.02,943,1362.81,17,16.72,29,8.84,0.65
Imphal West,276,645.59,848,1288.48,33,22.93,19,21.18,1.64
Jiribam,57,121.09,76,89.18,4,1.38,2,0.46,0.52
Kakching,136,254.99,301,349.59,22,11.90,8,3.58,1.02
Kamjong,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Kangpokpi,43,85.21,83,164.15,22,12.44,0,0.00,0.00
Noney,29,51.14,82,108.78,0,0.00,7,6.48,5.96
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Senapati,60,89.87,90,186.69,12,14.16,3,7.99,4.28
Tamenglong,29,174.00,30,40.63,0,0.00,0,0.00,0.00
Tengnoupal,38,118.18,158,265.27,7,8.36,23,33.06,12.46
Thoubal,416,885.39,817,1328.41,78,92.55,124,95.42,7.18
Ukhrul,32,166.50,55,66.71,0,0.00,0,0.00,0.00
