district,Bank Name,Crop Loan No,Amt,Forestry and wasteland Dev. No,Amt,Water Resource No,Amt,Farm mechanization No,Amt,Plantation & horticulture No,Amt,Animal Husbandry No,Amt,Fishery No,Amt,Farm Credit Others No,Amt,Agri. Infrastructure No,Amt,Ancillary Activities No,Amt,Tot Agri (PS) Disb No,Amt
Bishnupur,,1095,3052.41,31,3052.41,0,3052.41,170,3052.41,0,3052.41,23,3052.41,6,3052.41,636,3052.41,0,3052.41,52,3052.41,2013,3052.41
Chandel,,63,141.55,0,141.55,0,141.55,1,141.55,0,141.55,17,141.55,0,141.55,20,141.55,0,141.55,3,141.55,104,141.55
Churachandpur,,932,1609.41,0,1609.41,0,1609.41,4,1609.41,0,1609.41,7,1609.41,0,1609.41,269,1609.41,0,1609.41,17,1609.41,1229,1609.41
Imphal East,,808,6888.63,73,6888.63,0,6888.63,413,6888.63,9,6888.63,52,6888.63,3,6888.63,1082,6888.63,3,6888.63,281,6888.63,2724,6888.63
Imphal West,,1268,11527.82,81,11527.82,0,11527.82,611,11527.82,17,11527.82,85,11527.82,30,11527.82,850,11527.82,1,11527.82,370,11527.82,3313,11527.82
Jiribam,,11,70.50,0,70.50,0,70.50,0,70.50,0,70.50,0,70.50,0,70.50,3,70.50,0,70.50,0,70.50,14,70.50
Kakching,,226,1322.25,0,1322.25,0,1322.25,0,1322.25,2,1322.25,20,1322.25,16,1322.25,256,1322.25,0,1322.25,4,1322.25,524,1322.25
Kamjong,,6,8.67,0,8.67,0,8.67,0,8.67,0,8.67,0,8.67,1,8.67,0,8.67,0,8.67,0,8.67,7,8.67
Kangpokpi,,104,215.10,0,215.10,0,215.10,0,215.10,0,215.10,1,215.10,0,215.10,26,215.10,0,215.10,28,215.10,159,215.10
Noney,,22,143.39,0,143.39,0,143.39,0,143.39,0,143.39,0,143.39,0,143.39,9,143.39,0,143.39,7,143.39,38,143.39
Pherzawl,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Senapati,,618,843.92,0,843.92,0,843.92,0,843.92,0,843.92,0,843.92,4,843.92,120,843.92,0,843.92,3,843.92,745,843.92
Tamenglong,,45,213.36,0,213.36,0,213.36,0,213.36,0,213.36,8,213.36,3,213.36,5,213.36,0,213.36,2,213.36,63,213.36
Tengnoupal,,94,177.44,0,177.44,0,177.44,0,177.44,0,177.44,0,177.44,1,177.44,29,177.44,0,177.44,4,177.44,128,177.44
Thoubal,,755,4485.30,55,4485.30,0,4485.30,227,4485.30,0,4485.30,33,4485.30,8,4485.30,767,4485.30,0,4485.30,121,4485.30,1966,4485.30
Ukhrul,,126,356.19,0,356.19,0,356.19,0,356.19,0,356.19,4,356.19,1,356.19,16,356.19,0,356.19,8,356.19,155,356.19
