District,No. of KCC issued during quarter (Including renewal),KCC Disbursed Amountduringquarter,Total O/S KCC No.,Total O/S KCC Amt,Number ofrupaycard Issued,KCC Cardactivated,KCC Animal Husbandry Issued (Incl Renewal),KCC for animal husbandary Amountdisbursed duringquarter,AH Totalno. of KCC,AH Outstandingamount,AH Number ofrupaycard Issued,AH Cardactivated,KCC Fisheries Issued (Incl Renewal),KCC for Fishery Amountdisbursed duringquarter,Fishery Totalno. of KCC,Fishery Outstandingamount,Fishery Number ofrupaycard Issued,Fishery Cardactivated
Bishnupur,1064,830.08,4936,3147.99,4168,4128,36,30.73,327,262.79,253,248,42,18.12,187,171.58,153,142
Chandel,38,63.92,180,129.71,2,2,17,29.79,101,92.88,6,6,0,0.00,3,2.40,0,0
Churachandpur,478,852.56,2611,2084.66,1460,1069,9,16.92,314,375.56,105,103,10,2.26,44,96.45,17,4
Imphal East,727,744.35,3074,3195.15,2088,1876,231,245.77,794,775.37,564,556,8,4.46,23,36.40,8,7
Imphal West,375,791.37,12719,11027.09,3478,3088,114,151.37,816,811.07,596,595,17,60.12,75,131.79,41,41
Jiribam,0,0.00,67,31.29,21,21,0,0.00,11,9.86,8,8,0,0.00,4,4.52,0,0
Kakching,124,145.73,1076,1072.03,850,830,14,10.41,368,275.51,235,235,10,9.77,235,329.52,131,131
Kamjong,4,6.11,19,20.45,0,0,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0
Kangpokpi,57,113.45,919,581.31,621,542,4,9.17,61,53.44,28,28,5,3.30,4,6.55,0,0
Noney,15,14.24,281,235.48,81,81,2,1.46,3,1.82,3,3,0,0.00,0,0.00,0,0
Pherzawl,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0
Senapati,270,393.58,1837,1325.27,760,594,0,0.00,28,14.36,1,1,4,11.30,6,30.95,0,0
Tamenglong,15,2.68,143,111.43,14,14,8,0.06,54,45.72,0,0,3,0.01,8,6.44,0,0
Tengnoupal,78,63.22,202,115.50,24,25,15,8.01,73,48.57,29,32,2,2.00,3,5.16,2,2
Thoubal,496,479.44,3007,2293.06,2331,2239,239,131.22,413,343.14,373,401,24,35.67,58,69.16,47,47
Ukhrul,73,113.03,635,571.13,137,141,4,1.80,56,41.73,43,43,2,2.56,9,15.32,1,1
