District,Bank Name,Total Agri (PS) O/S,Tot Agri (PS) NPA,Agri NPA Pct,Total Msme (PS) O/S,Tot Msme (PS) NPA,Msme NPA Pct,Total Other PS O/S,Tot Other (PS) NPA,Other (PS) NPA Pct,Total PS O/S,Tot (PS) NPA,TOTAL PSA NPA Pct
Bishnupur,,9962,1490,8.84,4391,1934,20.22,1835,1027,5.21,16188,4451,11.45
Chandel,,330,147,33.53,671,217,22.66,147,38,2.08,1148,402,14.12
Churachandpur,,4109,1051,18.95,2594,819,16.11,914,104,1.01,7617,1974,11.78
Imphal East,,9371,1876,13.36,8618,3347,23.53,5134,3659,8.96,23123,8882,17.44
Imphal West,,23649,11428,18.08,17100,7857,17.76,6297,2272,3.63,47046,21557,15.16
Jiribam,,126,26,10.37,132,49,13.24,86,36,12.34,344,111,12.10
Kakching,,3153,1073,24.28,2752,1529,44.99,660,351,8.41,6565,2953,27.92
Kamjong,,24,4,19.63,137,39,19.74,0,0,,161,43,19.71
Kangpokpi,,1423,482,14.08,810,420,33.57,184,32,2.93,2417,934,18.38
Noney,,624,165,15.27,358,131,24.62,14,0,0.00,996,296,18.57
Pherzawl,,0,0,,0,0,,0,0,,0,0,
Senapati,,2634,562,12.92,2426,577,13.78,503,180,2.29,5563,1319,11.03
Tamenglong,,330,144,30.18,486,173,19.37,18,1,0.00,834,318,20.19
Tengnoupal,,619,160,21.45,1142,492,40.18,70,1,0.02,1831,653,23.40
Thoubal,,8885,1262,6.93,5608,2297,22.45,3391,2230,4.53,17884,5789,11.15
Ukhrul,,1042,331,27.40,1388,436,20.20,166,98,15.66,2596,865,21.95
