District,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No. of Zero Balance A/C,Amt Depositsheldinthe A/C,No. of Rupay Card Issued,No. of Rupay Card Activated,No. of Aadhaar Seeded
Bishnupur,99841,55693,60095,95209,155304,22804,2791.32,127923,34378,116028
Chandel,11343,0,5170,6169,11339,771,350.82,10539,2402,8518
Churachandpur,98870,3608,46260,56195,102455,12313,4119.16,75609,17008,73420
Imphal East,101845,42949,57184,87490,144674,18155,3522.79,112716,34005,104724
Imphal West,47967,209606,101446,155806,257252,26309,8959.53,202822,72345,202137
Jiribam,16805,0,6475,10330,16805,2268,498.29,15602,7666,15179
Kakching,30523,49028,32172,47307,79479,10552,1282.40,62617,16381,60314
Kamjong,2192,0,1098,1093,2191,52,119.46,2352,209,1429
Kangpokpi,30220,966,15487,15693,31180,1880,1758.60,22106,6960,18225
Noney,11860,0,6207,5621,11828,2018,789.58,10675,2284,8057
Pherzawl,0,0,0,0,0,0,0.00,0,0,0
Senapati,36281,0,16520,19738,36258,1567,1597.09,39859,7627,22402
Tamenglong,5284,16207,9566,11925,21491,3246,504.33,25163,11232,14308
Tengnoupal,10176,5466,6762,8867,15629,2496,511.87,17578,5015,11925
Thoubal,89258,70459,67594,96347,163941,21166,3115.56,123703,24777,111211
Ukhrul,6227,53485,25231,34471,59702,14241,2470.99,54778,15459,34582
