district,Current Year No. of Female Account,Current Year Sum of Female Amount,Current Year No. of Male Account to SC,Current Year Sum of Male Amount to SC,Current Year No. of Male Account to ST,Current Year Sum of Male Amount to ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amount,SUI O/S No.,SUI O/S Amt.,SUI NPA No.,SUI NPA Amt.,SUI NPA Amt. %
Bishnupur,2,2.20,0,0.00,0,0.00,2,2.20,5,104.54,1,6.79,6.50
Chandel,0,0.00,0,0.00,0,0.00,0,0.00,1,25.04,0,0.00,0.00
Churachandpur,0,0.00,0,0.00,5,30.98,5,30.98,45,1050.49,7,169.26,16.11
Imphal East,8,89.02,1,12.00,1,14.00,10,115.02,43,595.35,16,930.81,156.35
Imphal West,19,130.75,1,19.45,2,19.72,22,169.92,94,1649.32,32,1879.68,113.97
Jiribam,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Kakching,0,0.00,0,0.00,0,0.00,0,0.00,6,116.76,1,493.49,422.65
Kamjong,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Kangpokpi,1,0.05,0,0.00,1,0.06,2,0.11,9,177.91,0,382.00,214.72
Noney,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Senapati,7,1.16,0,0.00,7,1.01,14,2.17,40,668.35,5,60.22,9.01
Tamenglong,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Tengnoupal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Thoubal,0,0.00,0,0.00,0,0.00,0,0.00,15,100.33,3,18.76,18.70
Ukhrul,0,0.00,0,0.00,0,0.00,0,0.00,2,46.90,0,0.00,0.00
