District,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Ops Total O/S No.,Ops Total O/S Amt
Bishnupur,0,0,45,124.39,454,5029.20,1,2.19,5,8.17,1330,742.13,1835,5906.08
Chandel,0,0,15,40.55,75,1079.43,0,0.00,0,0.00,57,57.06,147,1177.04
Churachandpur,0,0,126,277.98,565,7834.62,0,0.00,0,0.00,223,253.31,914,8365.91
Imphal East,0,0,189,586.71,871,8911.20,1,17.97,30,61.00,4043,963.73,5134,10540.61
Imphal West,0,0,776,3495.33,2961,36099.53,5,447.67,150,282.24,2405,875.51,6297,41200.28
Jiribam,0,0,1,0.41,5,49.46,0,0.00,0,0.00,80,64.66,86,114.53
Kakching,0,0,36,79.63,223,3572.16,2,25.76,1,1.74,398,212.80,660,3892.09
Kamjong,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Kangpokpi,0,0,23,80.59,112,1738.00,0,0.00,14,28.68,35,22.26,184,1869.53
Noney,0,0,8,12.68,2,60.53,0,0.00,0,0.00,4,3.81,14,77.02
Pherzawl,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Senapati,0,0,54,208.92,197,3052.37,0,0.00,0,0.00,252,128.15,503,3389.44
Tamenglong,0,0,10,20.34,7,76.68,0,0.00,0,0.00,1,0.00,18,97.02
Tengnoupal,0,0,8,30.51,58,862.94,0,0.00,0,0.00,4,24.09,70,917.54
Thoubal,0,0,89,280.45,801,9172.43,0,0.00,8,10.12,2493,429.02,3391,9892.02
Ukhrul,0,0,14,30.77,10,108.83,0,0.00,0,0.00,142,106.36,166,245.96
