district,Enrolmentunder PMJJBY,eligiblecasesunder PMJJBY,renewalsunder PMJJBY,Enrolmentunder PMSBY,eligiblecasesunder PMSBY,renewalsunder PMSBY,Enrolmentunder APY,Total Enrolment No.
Bishnupur,40601,180174,33511,87650,261332,108779,10024,138275
Chandel,4719,19604,3158,7197,32020,7691,353,12269
Churachandpur,37983,158946,17067,38513,233480,47887,4841,81337
Imphal East,47964,237226,42296,120091,328406,158833,15431,183486
Imphal West,111062,503997,68825,301481,736387,211779,33942,446485
Jiribam,7541,35491,2147,12241,46959,3662,3084,22866
Kakching,22708,114124,14884,42357,164008,52167,5073,70138
Kamjong,895,2537,324,3972,4322,1305,96,4963
Kangpokpi,16317,50898,5851,62327,76362,13663,1894,80538
Noney,3445,19084,5126,5277,23262,18583,1024,9746
Pherzawl,0,0,0,0,0,0,0,0
Senapati,23125,80167,8417,36002,114215,26104,2876,62003
Tamenglong,5972,44471,1725,30955,56826,5469,3729,40656
Tengnoupal,9241,26768,8708,9089,38430,19319,1690,20020
Thoubal,30622,221933,35436,69435,309868,115552,9944,110001
Ukhrul,27239,92128,12174,24406,134751,30085,5405,57050
