District,Block Name,Total Branch,During the Quarter Savings Linked No.,Amt,During the Quarter Credit Linked No.,Current FY Savings Linked No.,Current FY Credit Linked No.,SHG O/S No.,SHG NPA No.,Pct
Aizawl,TLANGNUAM,92,56,49.28,53,70,84,310,28,7.60
Champhai,CHAMPHAI,14,24,6.94,14,25,15,299,4,1.01
Hnahthial,HNAHTHIAL,5,15,1.08,7,22,12,43,2,2.89
Khawzawl,KHAWZAWL,8,48,3.06,27,48,33,268,3,1.36
Kolasib,NORTH,6,31,15.73,8,36,19,143,14,7.79
Lawngtlai,SANGAU,2,5,0,2,5,10,21,0,0.00
Lunglei,LUNGLEI,17,19,2.62,38,24,45,5,3,71.58
Mamit,ZAWLNUAM,8,25,0,13,32,79,152,0,0.00
Saiha,SAIHA,6,34,31.8,0,35,0,179,33,16.89
Saitual,PHULLEN,6,10,14.08,0,14,0,38,8,34.33
Serchhip,SERCHHIP,13,29,4.45,12,32,34,178,3,1.85
