district,Total Br(s),Export No.,Amt.,Education No.,Housing No.,Social Infra. No.,Renew- able No.,Others No.,Total Other PS O/S No.
Aizawl,110,0,52587.39,207,5723,1,1,5631,11563
Champhai,17,0,4654.76,6,652,0,0,2,660
Hnahthial,5,0,1405.56,1,155,0,0,0,156
Khawzawl,8,0,2226.49,3,262,0,0,0,265
Kolasib,20,0,7667.9,11,787,0,0,2455,3253
Lawngtlai,12,0,16347.74,14,2114,0,0,0,2128
Lunglei,22,0,15436.2,19,1985,0,0,15,2019
Mamit,13,0,3817.8,0,472,0,0,1,473
Saiha,7,0,11836.03,7,1591,0,0,0,1598
Saitual,10,0,1280.48,2,183,0,0,0,185
Serchhip,15,0,6598.01,8,793,0,0,1,802
