District,Block Name,Total Br,KCCsfor AH and Allied Activities No.,Amt,Farm Production No.,Dairy No.,Farm Mechanisationn No.,Poultry No.,Fisheries No.,Godown No.,Clinic No.,Other NPS No.,Total IC-Agri O/S No.
Aizawl,TLANGNUAM,92,2524,12657.47,0,307,97,536,2,1,0,3383,6850
Champhai,CHAMPHAI,14,1444,4832.07,0,24,1669,91,19,0,0,1391,4638
Hnahthial,HNAHTHIAL,5,628,1180.27,0,76,2,16,21,0,0,224,967
Khawzawl,KHAWZAWL,8,849,2484.24,0,115,21,84,3,0,0,1177,2249
Kolasib,BILKHAWTHLIR,14,404,1468.88,0,14,4,27,20,0,0,542,1011
Lawngtlai,SANGAU,2,224,822.71,0,4,0,88,1,0,0,316,633
Lunglei,LUNGSEN,3,115,494.05,0,81,0,136,1,0,0,129,462
Mamit,WEST,3,438,1675.82,0,56,108,484,1,0,0,682,1769
Saiha,TUIPANG,1,69,661.12,0,59,0,107,0,0,0,413,648
Saitual,PHULLEN,6,689,1899.30,0,31,17,280,4,0,0,701,1722
Serchhip,SERCHHIP,12,1074,3995.21,0,117,27,139,12,0,0,1084,2453
