District,Block Name,Total Branch,NRLM O/S,Irregular,NPA,NULM O/S,PMEGP O/S,SHG O/S,SUI O/S
Aizawl,TLANGNUAM,92,25,6,10,381,788,310,399
Champhai,KHAWBUNG,3,235,31,0,0,12,299,0
Hnahthial,HNAHTHIAL,5,11,0,0,3,57,43,4
Khawzawl,KHAWZAWL,8,203,11,0,16,80,268,4
Kolasib,BILKHAWTHLIR,14,138,15,0,34,125,143,15
Lawngtlai,CHAWNGTE,2,17,0,0,0,34,21,0
Lunglei,LUNGSEN,3,0,0,0,2,35,5,0
Mamit,REIEK,2,82,0,0,0,18,152,2
Saiha,TUIPANG,1,178,16,0,0,18,179,0
Saitual,PHULLEN,6,0,0,1,10,117,38,7
Serchhip,EAST LUNGDAR,3,166,23,0,0,78,178,0
