district,Block Name,Total Br(s),Sep-I No.,Amt.,Sep-G No.,Amt.,No. of Beneficiary,SHG No.,Amt.,No. of Beneficiary,Women SHG No.,Amt.,No. of Beneficiary,Total CY NULM Disb. No.,Amt.
Aizawl,DARLAWN,92,0,0,0,0,0,0,0,0,0,0,0,0,0
Champhai,KHAWBUNG,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Hnahthial,HNAHTHIAL,5,2,3.8,0,3.8,0,0,3.8,0,0,3.8,0,2,3.8
Khawzawl,KHAWZAWL,8,2,4,0,4,0,0,4,0,0,4,0,2,4
Kolasib,NORTH,6,8,13.8,0,13.8,8,0,13.8,8,2,13.8,8,8,13.8
Lawngtlai,CHAWNGTE,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Lunglei,LUNGSEN,3,2,4,0,4,0,0,4,0,0,4,0,2,4
Mamit,WEST PHAILENG,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Saiha,TUIPANG,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Saitual,PHULLEN,6,1,2,0,2,0,0,2,0,0,2,0,1,2
Serchhip,EAST LUNGDAR,3,0,0,0,0,0,0,0,0,0,0,0,0,0
