district,Branches Rural,Semi- Urban,Urban,Total,ATMs Rural,Semi- Urban,Urban,Total,CSPs Fixed,Others,Total
Aizawl,20,0,127,68,5,0,127,68,46,16,68
Champhai,4,10,0,35,0,10,0,35,32,3,35
Hnahthial,4,0,0,5,1,0,0,5,1,4,5
Khawzawl,5,2,0,20,1,2,0,20,20,0,20
Kolasib,6,11,0,36,0,11,0,36,32,4,36
Lawngtlai,5,4,0,53,1,4,0,53,53,0,53
Lunglei,7,15,0,20,1,15,0,20,16,4,20
Mamit,12,1,0,34,5,1,0,34,34,0,34
Saiha,1,7,0,24,0,7,0,24,23,1,24
Saitual,6,2,0,8,1,2,0,8,8,0,8
Serchhip,8,5,0,23,1,5,0,23,23,0,23
