District,Block Name,Total Br(s),Smalland Marginal Farmers No.,Amt,Scheduled Castes No.,Scheduled Tribes No.,DRI scheme No.,Self Help Groups No.,Womenbeneficiaries No.,Minoritycommunities No.,PMJDY No.,Others No.
Aizawl,TLANGNUAM,92,10497,10170.41,71,15556,5,308,11528,3988,160,7793
Champhai,KHAWBUNG,3,764,0,0,0,0,299,109,0,0,0
Hnahthial,HNAHTHIAL,5,1035,0,2,218,0,43,183,309,0,0
Khawzawl,KHAWZAWL,8,2206,23.3,0,327,0,267,461,348,0,12
Kolasib,NORTH,6,1990,0,0,0,0,246,452,0,0,0
Lawngtlai,S' BUNGTLANG,1,151,0,0,0,0,82,43,0,0,0
Lunglei,LUNGLEI,17,4908,540.67,3,1694,8,226,2891,798,30,799
Mamit,ZAWLNUAM,8,1104,1.84,0,614,0,220,318,252,0,1
Saiha,SAIHA,6,923,26.34,4,1293,0,127,1846,116,0,17
Saitual,PHULLEN,6,1853,1.22,0,119,0,38,521,224,0,3
Serchhip,EAST LUNGDAR,3,1495,0,0,0,0,178,247,0,0,0
