district,Total Br(s),MICRO,SMALL,MEDIUM,OTHER MSME,MSME Total O/S
Aizawl,110,15405,1358,35,84,16882
Champhai,17,1991,58,0,5,2054
Hnahthial,5,302,7,0,4,313
Khawzawl,8,3747,785,8,12,4552
Kolasib,20,3018,40,0,26,3084
Lawngtlai,12,1421,30,0,18,1469
Lunglei,22,3586,125,0,17,3728
Mamit,13,1380,22,0,20,1422
Saiha,7,1080,22,0,2,1104
Saitual,10,855,1,0,10,866
Serchhip,15,1685,34,0,11,1730
