District,Block Name,Total Branch,Crop Loan No.,Amt,Forestry & Wastelan No.,Water Resource No.,Farm Mechanization No.,Plantation & Horticulture No.,Animal Husbandry No.,Fishery No.,Farm Credit Others No.,Agri. Infra. No.,Ancillary Activities No.,TOTAL Agri No.
Aizawl,DARLAWN,5,62,464.10,0,0,0,7,93,3,127,0,0,292
Champhai,CHAMPHAI,14,63,672.40,0,0,708,5,121,16,99,0,16,1028
Hnahthial,HNAHTHIAL,5,57,365.37,0,0,0,2,129,21,23,0,0,232
Khawzawl,KHAWZAWL,8,167,687.98,0,0,0,1,218,0,140,0,0,526
Kolasib,BILKHAWTHLIR,14,136,488.83,0,0,0,1,94,14,54,0,20,319
Lawngtlai,SANGAU,2,3,216.13,0,0,0,0,75,1,21,0,0,100
Lunglei,WEST,2,2,84.92,0,0,0,0,54,0,13,0,0,69
Mamit,WEST PHAILENG,3,9,485.51,0,0,0,0,203,1,134,0,0,347
Saiha,SAIHA,6,81,598.34,0,0,676,7,146,0,149,0,1,1060
Saitual,PHULLEN,6,123,578.32,0,0,0,7,210,0,132,0,0,472
Serchhip,SERCHHIP,3,93,931.78,0,0,0,9,330,6,71,0,0,509
