district,Total Br(s),AGRI No.,Amt.,EDUCATION No.,HOUSING No.,PERSONAL LOAN No.,OTHER NPS No.,Total NPS No.,NPS NPA No.,%
Aizawl,110,9,3623.07,4,5487,10349,31850,47699,1596,1.55
Champhai,17,0,188.69,0,418,635,1895,2948,47,1.41
Hnahthial,5,7,22.86,0,99,265,379,750,8,0.46
Khawzawl,8,1,44.6,0,88,361,819,1269,20,0.94
Kolasib,20,2,136.7,0,313,984,2519,3818,123,0.82
Lawngtlai,12,0,323.23,0,399,1420,2750,4569,139,1.36
Lunglei,22,2,387.72,0,554,1920,4735,7211,123,1.15
Mamit,13,0,164.43,0,130,674,1419,2223,70,1.7
Saiha,7,4,414.6,0,174,1057,1978,3213,144,3.03
Saitual,10,1,80.99,0,60,332,664,1057,29,1.65
Serchhip,15,2,133.64,0,194,700,1370,2266,29,1.21
