District,Total Branch,Crop,Term Loan,Agri Infra,Ancillary,Agri Total NPA
Aizawl,110,5491,1180,0,56,6727
Champhai,17,144,957,0,2,1103
Hnahthial,5,33,57,0,0,90
Khawzawl,8,78,209,0,0,287
Kolasib,20,163,326,3,98,590
Lawngtlai,12,336,435,0,3,774
Lunglei,22,60,299,0,0,359
Mamit,13,34,260,0,0,294
Saiha,7,201,794,0,0,995
Saitual,10,118,211,0,0,329
Serchhip,15,29,224,0,0,253
