District,Block Name,Total Br,Sishu,Kishore,Tarun,Total MUDRA Disb
Aizawl,TLANGNUAM,92,1953,1601,184,3738
Champhai,CHAMPHAI,14,38,143,36,217
Hnahthial,HNAHTHIAL,5,26,55,12,93
Khawzawl,KHAWZAWL,8,86,179,28,293
Kolasib,NORTH,6,0,6,6,12
Lawngtlai,SANGAU,2,0,2,1,3
Lunglei,WEST,2,0,25,1,26
Mamit,ZAWLNUAM,8,61,152,21,234
Saiha,SAIHA,6,41,62,18,121
Saitual,NGOPA,6,15,38,1,54
Serchhip,SERCHHIP,13,95,160,37,292
