district,Total Br(s),AGRI,EDN,HOUSING,PERSONAL,OTHER NPS,Total NPS
Aizawl,110,1,0,35,271,1289,1596
Champhai,17,0,0,2,17,28,47
Hnahthial,5,0,0,0,6,2,8
Khawzawl,8,0,0,0,8,12,20
Kolasib,20,0,0,1,30,92,123
Lawngtlai,12,0,0,8,52,79,139
Lunglei,22,0,0,2,40,81,123
Mamit,13,0,0,1,23,46,70
Saiha,7,0,0,3,102,39,144
Saitual,10,0,0,0,0,29,29
Serchhip,15,0,0,3,14,12,29
