district,No. of Financial Literacy Centres (FLCs)
Aizawl,1
Champhai,1
Hnahthial,1
Khawzawl,1
Kolasib,1
Lawngtlai,1
Lunglei,1
Mamit,1
Saiha,1
Saitual,1
Serchhip,1
