District,Block Name,Total Br(s),PMJJBY,PMSBY,APY,Total Enrol- ment
Aizawl,TLANGNUAM,92,112741,179152,5792,297685
Champhai,CHAMPHAI,14,9159,18833,702,28694
Hnahthial,HNAHTHIAL,5,7751,11622,221,19594
Khawzawl,KHAWZAWL,8,7785,12317,329,20431
Kolasib,BILKHAWTHLIR,14,13267,28170,1259,42696
Lawngtlai,S' BUNGTLANG,1,1223,460,140,1823
Lunglei,LUNGLEI,17,23885,46602,2030,72517
Mamit,WEST PHAILENG,3,1766,5297,202,7265
Saiha,SAIHA,6,4383,8057,249,12689
Saitual,NGOPA,4,3549,6577,163,10289
Serchhip,SERCHHIP,12,12371,20597,727,33695
