district,Block Name,Total Br(s),KCC Issued during qtr. (incl. Renew- al),Disb. Amt. during qtr.,Total Outstanding,No. of Rupay Card Issued,KCC Card acti- vated,KCC for ANIMAL HUSBANDARY Issued during qtr. (incl. Renew- al),Disb. Amt. during qtr.,Total Outstanding,No. of Rupay Card Issued,AH Card acti- vated,KCC for FISHERIES Issued during qtr. (incl. Renew- al),Disb. Amt. during qtr.,Total Outstanding,No. of Rupay Card Issued,Fish- ery Card acti- vated
Aizawl,TLANGNUAM,92,825,0,0,0,2250,290,0,0,0,82,0,0,0,0,0
Champhai,CHAMPHAI,14,538,26.4,22,2,332,61,26.4,22,2,13,16,26.4,22,2,3
HNAHTHIA,HNAHTHIAL,5,193,24.82,21,3,132,95,24.82,21,3,23,21,24.82,21,3,3
KHAWZAW,KHAWZAWL,8,493,0,1,0,300,23,0,1,0,29,0,0,1,0,0
Kolasib,NORTH,6,222,0,0,0,126,36,0,0,0,10,0,0,0,0,0
LAWNGTL,SANGAU,2,67,3,1,0,36,42,3,1,0,11,1,3,1,0,0
Lunglei,WEST,2,55,0,0,0,42,53,0,0,0,10,0,0,0,0,0
Mamit,REIEK,2,72,0,0,0,27,6,0,0,0,0,0,0,0,0,0
Saiha,SAIHA,6,629,0,4,0,114,41,0,4,0,54,3,0,4,0,0
Saitual,PHULLEN,6,367,0,0,0,218,81,0,0,0,28,0,0,0,0,0
Serchhip,SERCHHIP,13,408,9.8,7,1,304,150,9.8,7,1,50,6,9.8,7,1,1
