District,Block Name,Total Branch,Number of Operative CASA,Number of Aadhaar Seeded CASA,Number of Authenticated CASA
Aizawl,TLANGNUAM,92,389873,269050,133608
Champhai,CHAMPHAI,14,49238,33309,10036
Hnahthial,HNAHTHIAL,5,16092,10704,3665
Khawzawl,KHAWZAWL,8,20641,14442,3352
Kolasib,BILKHAWTHLIR,14,51118,28784,12907
Lawngtlai,SANGAU,2,5418,4003,0
Lunglei,WEST BUNGHMUN,2,3230,2556,0
Mamit,WEST PHAILENG,3,10162,7430,0
Saiha,SAIHA,6,38456,22102,6732
Saitual,PHULLEN,6,14679,10234,2311
Serchhip,SERCHHIP,12,37020,25845,4058
