district,Total Br(s),DEPOSITs Rural,Semi- Urban,Urban,Total,ADVANCES Rural,Semi- Urban,Urban,Total,CD RATIOs Rural,Semi- Urban,Urban,Overall
Aizawl,110,43887.51,,42.96,461186.7,20816.22,,42.96,461186.7,47.43,,42.96,43.15
Champhai,17,5457.41,74.34,0,33798.04,3652.37,74.34,0,33798.04,66.92,74.34,0,73.98
Hnahthial,5,15967.34,55.88,0,8888.33,8037.58,55.88,0,8888.33,50.34,55.88,0,50.83
Khawzawl,8,7706.26,71.02,0,11798.51,5180.85,71.02,0,11798.51,67.23,71.02,0,69.3
Kolasib,20,12036.15,71.57,0,36143.74,8448.5,71.57,0,36143.74,70.19,71.57,0,71.29
Lawngtlai,12,11463.75,96.33,0,47671.79,14143.86,96.33,0,47671.79,123.38,96.33,0,103.08
Lunglei,22,11337.08,64.09,0,67112.48,5690.17,64.09,0,67112.48,50.19,64.09,0,62.82
Mamit,13,26099.64,100.1,0,21627.87,18727.32,100.1,0,21627.87,71.75,100.1,0,74.61
Saiha,7,3095.59,91.79,0,31243.07,3028.42,91.79,0,31243.07,97.83,91.79,0,92.38
Saitual,10,6928.54,51.65,0,12219.64,5840.88,51.65,0,12219.64,84.3,51.65,0,63.44
Serchhip,15,19740.31,65.82,0,29561.29,12995.68,65.82,0,29561.29,65.83,65.82,0,65.92
