District,Block Name,Total Br(s),Current Year Self-Help Group,NRLM O/S,NRLM Irregular,NRLM NPA
Aizawl,DARLAWN,92,0,25,6,2
Champhai,CHAMPHAI,3,9,235,31,2
Hnahthial,HNAHTHIAL,5,6,11,0,0
Khawzawl,KHAWZAWL,8,32,203,11,2
Kolasib,NORTH,14,17,138,15,12
Lawngtlai,S',2,0,17,0,0
Lunglei,WEST,3,0,0,0,0
Mamit,REIEK,2,0,82,0,0
Saiha,TUIPANG,1,47,178,16,33
Saitual,PHULLEN,6,0,0,0,0
Serchhip,EAST,3,25,166,23,1
