district,period,branch_network__total_branch
North Goa,June 2020,382
South Goa,June 2020,405
North Goa,September 2020,377
South Goa,September 2020,409
North Goa,December 2020,379
South Goa,December 2020,408
North Goa,March 2021,379
South Goa,March 2021,407
North Goa,June 2021,382
South Goa,June 2021,407
North Goa,September 2021,380
South Goa,September 2021,400
North Goa,December 2021,539
South Goa,December 2021,492
North Goa,March 2022,539
South Goa,March 2022,492
North Goa,June 2022,530
South Goa,June 2022,488
North Goa,September 2022,533
South Goa,September 2022,491
North Goa,December 2022,533
South Goa,December 2022,491
North Goa,March 2023,533
South Goa,March 2023,491
North Goa,June 2023,375
South Goa,June 2023,397
North Goa,September 2023,391
South Goa,September 2023,383
North Goa,December 2023,394
South Goa,December 2023,383
North Goa,March 2024,395
South Goa,March 2024,383
North Goa,June 2024,402
South Goa,June 2024,389
North Goa,September 2024,403
South Goa,September 2024,392
North Goa,December 2024,403
South Goa,December 2024,391
North Goa,March 2025,407
South Goa,March 2025,400
North Goa,June 2025,407
South Goa,June 2025,403
North Goa,September 2025,407
South Goa,September 2025,403
North Goa,December 2025,414
South Goa,December 2025,407
