District,Business Figureason 31.03.2019 Deposit,Advance,C D Ratio (%) Ason 31.12.2018,Ason 31.03.2019
Thoubal,,,94,
Kakching,,,136,
Chandel,15196.25,9728.96,83,
Tengnoupal,9160.72,9448.52,95,103
Churachandpur,,,67,63
Pherzawl,70.00,616.30,974,880
Senapati,,,90,86
Kangpokpi,13261.66,13836.92,112,104
Imphal West,,,56,49
Imphal East,,,69,63
Jiribam,,,85,96
Bishnupur,23845.47,22193.35,110,93
Tamenglong,11282.81,3299.13,42,29
Noney,1582.91,1514.69,78,96
Ukhrul,,,44,35
Kamjong,,,167,
