district,la b u o h T,g n ih c k a K,le d n a h C,la p u o n g n e T,ru p d n a h c a ru h C,la w z re h P,ita p a n e S,ip k o p g n a K,ts e W la h p m I,ts a E la h p m I,m a b iriJ,ru p u n h s iB,g n o lg n e m a T,y e n o N,lu rh k U,g n o jm a K,la to T
ALB,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
AXIS,-,1,-,1,1,-,-,-,8,5,-,1,-,-,-,-,17
BAND,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
BOB,-,-,-,-,-,-,-,1,7,1,-,-,-,-,-,-,9
BOI,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,5
CBI,1,-,-,-,2,-,-,-,5,1,-,-,-,-,-,-,9
CNB,1,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,3
HDFC,4,-,-,-,1,-,1,-,4,4,-,-,-,-,-,-,14
ICICI,1,-,-,-,1,-,-,-,8,2,-,-,-,-,-,-,12
IDBI,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,2
IND,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
INDUS,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,3
IOB,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2
IPPB,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
IUCB,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2
MSCB,1,1,-,-,1,-,-,-,3,1,-,1,-,-,1-,-,9
PNB,1,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,4
PSB,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,4
SBI,16,6,2,3,17,-,13,7,88,34,-,12,-,1,3,1,203
SYN,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
UBI,1,1,-,1,3,-,2,-,10,2,1,1,1,-,1,-,24
UCO,-,1,1,1,1,-,1,-,2,2,-,3,-,-,1,-,13
UNI,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
VJB,-,-,-,-,1,-,-,1,4,-,-,-,-,-,-,-,6
YES,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
