District,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advances,Cdr Rural,Cdr Semi-Urban,Cdr Urban,Overal CD Ratio
Anjaw,13364.81,0,0,13364.81,2378.51,0,0,2378.51,17.796811178011513,0,0,17.796811178011513
Changlang,70589.03,1913.44,0,72502.47,13840.42,336.51,0,14176.93,19.607040924064265,17.586650221590432,0,19.553720031883053
Dibang Valley,9732.33,642.96,0,10375.29,1760.69,236.95,0,1997.64,18.091145696868068,36.85299241010327,0,19.253823266626764
East Kameng,0,26172.05,0,26172.05,0,13912.08,0,13912.08,0,53.15624874627704,0,53.15624874627704
East Siang,27623.04,84995.92,0,112618.95999999999,5896.75,31524.32,0,37421.07,21.34721594726721,37.08921557646532,0,33.228037268324975
Kamle,2597.11,0,0,2597.11,889.33,0,0,889.33,34.243062480988485,0,0,34.243062480988485
Kra Daadi,5448.46,0,0,5448.46,2190.9,0,0,2190.9,40.21136247673655,0,0,40.21136247673655
Kurung Kumey,6785.93,1882.9,0,8668.83,2284.59,1249.72,0,3534.3100000000004,33.66657186266289,66.37208561261883,0,40.770323100118475
Lohit,5469.33,37769.99,0,43239.32,2027.13,10952.63,0,12979.759999999998,37.06358914163161,28.998233782958376,0,30.018418421011244
Longding,14861.19,0,0,14861.19,6701.43,0,0,6701.43,45.093495204623586,0,0,45.093495204623586
Lower Dibang Valley,1950.13,48655.39,0,50605.52,490.87,9463.54,0,9954.410000000002,25.171142436658066,19.450136973519278,0,19.670601151811113
Lower Subansiri,14800.65,52925.15,0,67725.8,4653.87,19302.18,0,23956.05,31.4436865948455,36.47071382886964,0,35.37211815881097
Namsai,25010.76,23278.86,0,48289.619999999995,7460.96,7104.78,0,14565.74,29.831000737282675,30.52030898420283,0,30.16329389214494
Pakke Kessang,2525.29,0,0,2525.29,1744.54,0,0,1744.54,69.08275881185924,0,0,69.08275881185924
Papum Pare,84962.39,963170.65,0,1048133.04,41682.42,350567.21,0,392249.63,49.059848716590956,36.39720645557462,0,37.42364900547358
Shi Yomi,0,1179.92,0,1179.92,0,269.83,0,269.83,0,22.86849955929215,0,22.86849955929215
Siang,11749.8,0,0,11749.8,2000.52,0,0,2000.52,17.02599193177756,0,0,17.02599193177756
Tawang,112854.76,17804.22,0,130658.98,7458.89,4372.53,0,11831.42,6.609282585865231,24.55895287746388,0,9.05519084872697
Tirap,35696,2085.69,0,37781.69,11719.89,1038.18,0,12758.07,32.832502241147466,49.77633301209672,0,33.76786480435364
Upper Siang,33440.33,1635.13,0,35075.46,4816.07,583.78,0,5399.849999999999,14.401981080928328,35.70236005699852,0,15.394951342049398
Upper Subansiri,14650.51,32483.6,0,47134.11,3075.17,16495.45,0,19570.620000000003,20.990190785167208,50.78085557019543,0,41.521140422509305
West Kameng,99495.39,317.06,0,99812.45,21158.18,1074.98,0,22233.16,21.26548777787594,339.0462373052419,0,22.274936643675215
West Siang,52572.82000000001,65551.84,0,118124.66,13994.62,22625.15,0,36619.770000000004,26.619496538325315,34.51489691212329,0,31.000952722318946
