district,Savings Linked,Target,Credit Linked,CY Savings Linked,CY Credit Linked,SHG O/S
Anjaw,13,2,0,13,0,0
Changlang,721,0,10,727,11,35
Dibang Valley,1,4,0,2,0,0
East Kameng,32,10,0,66,0,9
East Siang,29,67,0,61,2,19
Kamle,0,0,0,0,0,0
Kra Daadi,128,15,75,128,83,83
Kurung Kumey,98,9,0,107,0,4
Lohit,41,27,3,43,16,17
Longding,137,0,0,137,0,31
Lower Dibang Valley,28,64,3,64,34,38
Lower Subansiri,45,83,5,72,30,38
Namsai,40,78,0,41,28,37
Pakke Kessang,21,2,0,21,0,0
Papum Pare,34,52,23,78,37,128
Shi Yomi,11,5,0,13,0,16
Siang,73,60,0,80,2,2
Tawang,64,21,0,64,0,2
Tirap,584,0,3,590,3,12
Upper Siang,11,35,0,80,0,51
Upper Subansiri,27,41,0,51,6,41
West Kameng,122,17,0,125,5,41
West Siang,87,78,12,129,32,68
