District,Micro TL,Micro WC,Small TL,Small WC,Medium TL,Medium WC,KVIC TL,KVIC WC,Others under MSMEs Ac,Total MSME Disbursement
Anjaw,1,1,1,0,0,0,0,0,0,3
Changlang,40,24,2,1,0,0,0,0,21,88
Dibang Valley,6,4,3,2,0,0,0,0,0,15
East Kameng,71,38,7,5,0,0,1,0,0,122
East Siang,805,42,26,6,0,0,8,0,110,997
Kamle,3.65,0.725,0.775,0.3,0.025,0.025,0.425,0,1.3,7.2250000000000005
Kra Daadi,36,24,7,5,0,0,0,0,0,72
Kurung Kumey,12,8,13,8,0,0,0,0,1,42
Lohit,106,38,17,4,0,0,15,0,3,183
Longding,9,6,3,2,0,0,0,0,0,20
Lower Dibang Valley,56,9,28,5,0,0,0,0,4,102
Lower Siang,19,12,10,6,0,0,0,0,40,87
Lower Subansiri,142.35,28.275,30.225,11.7,0.975,0.975,16.575,0,50.7,281.775
Namsai,112,61,8,6,0,0,0,0,10,197
Pakke Kessang,10,6,1,1,0,0,0,0,0,18
Papum Pare,2971,295,276,77,39,11,4,0,357,4030
Siang,10,6,0,0,0,0,0,0,4,20
Tawang,143,19,28,14,1,0,5,0,1,211
Tirap,18,11,9,6,0,0,0,0,1,45
Upper Siang,9,6,9,6,0,0,0,0,26,56
Upper Subansiri,115,30,29,18,0,0,2,0,92,286
West Kameng,304,43,33,14,0,0,13,0,12,419
West Siang,162,42,9,3,0,0,0,0,55,271
