District,Agri (PS) Total O/S No.,Agri (PS) Total O/S Amt,MSME (PS) Total O/S No.,MSME (PS) Total O/S Amt,Other PS Total O/S No.,Other PS Total O/S Amt,Total PS O/S No.,Total PS O/S Amt
Anjaw,100,37.64,6,12.85,2,21,108,71.49000000000001
Changlang,1046,486.05,117,124.31,78,244.17,1241,854.53
Dibang Valley,157,148.29,20,100.83,7,48.62,184,297.74
East Kameng,1625,885.12,205,789.94,69,887.96,1899,2563.02
East Siang,2378,1313.46,2938,6232.54,302,1646.57,5618,9192.57
Kamle,109.516,75.49042,23.294,109.44228,11.058,63.50674,143.868,248.43944000000002
Kra Daadi,140,114.64,101,410.26,0,0,241,524.9
Kurung Kumey,326,683.4,84,405.13,31,231.84,441,1320.37
Lohit,2211,1616.94,224,804.11,54,294.8,2489,2715.8500000000004
Longding,257,145.74,44,285.71,6,25.46,307,456.90999999999997
Lower Dibang Valley,927,840.65,197,668.7,59,192.16,1183,1701.51
Lower Subansiri,2772.484,1911.0995799999998,589.706,2770.6177199999997,279.942,1607.72326,3642.132,6289.440559999999
Namsai,1549,2095.04,330,1503.35,74,390.13,1953,3988.52
Pakke Kessang,198,129.86,25,67.64,25,223.92,248,421.41999999999996
Papum Pare,10436,106558.43,12143,79618.76,2056,24000.94,24635,210178.13
Shi Yomi,47,95.48,0,0,32,100.8,79,196.28
Siang,66,70.5,38,193.64,5,15.55,109,279.69
Tawang,207,356.01,474,2160.8,53,284.63,734,2801.4400000000005
Tirap,1741,518.12,68,221,45,215.06,1854,954.1800000000001
Upper Siang,230,282.84,89,358.06,88,168.91,407,809.81
Upper Subansiri,1389,1017.52,560,2144.07,217,1447.52,2166,4609.110000000001
West Kameng,1504,1186.52,774,3648.4,95,494.31,2373,5329.2300000000005
West Siang,1948,1642.98,1001,3657.71,383,2659.12,3332,7959.81
