district,Sishu,Kishore,Tarun,Total Mudra
Anjaw,0,4,2,6
Changlang,176,19,9,204
Dibang Valley,4,6,3,13
East Kameng,114,63,68,245
East Siang,261,190,64,515
Kamle,7.4,8.24,4.8,20.44
Kra Daadi,96,53,27,176
Kurung Kumey,3,47,16,66
Lohit,134,119,49,302
Longding,33,11,10,54
Lower Dibang Valley,53,15,4,72
Lower Subansiri,177.6,197.76,115.2,490.56
Namsai,103,84,25,212
Pakke Kessang,4,16,5,25
Papum Pare,1233,1037,532,2802
Shi Yomi,0,0,0,0
Siang,1,13,5,19
Tawang,60,172,114,346
Tirap,62,39,12,113
Upper Siang,22,26,7,55
Upper Subansiri,55,206,47,308
West Kameng,118,328,163,609
West Siang,468,190,87,745
