District,Agri & Allied Sector,Msme Priorityrityrityrity Sector,Other Priorityrityrityrity Sector,Total Priorityrityrityrity Sector
Anjaw,453,141,37,631
Changlang,1732,256,56,2044
Dibang Valley,319,71,40,430
East Kameng,1145,315,138,1598
East Siang,1223,630,412,2265
Kamle,147,21,15,183
Kra Daadi,270,94,17,381
Kurung Kumey,540,178,71,789
Lohit,680,192,280,1152
Longding,1203,251,25,1479
Lower Dibang Valley,3112,408,115,3635
Lower Subansiri,2122,93,115,2330
Namsai,720,285,340,1345
Pakke Kessang,163,42,18,223
Papum Pare,14959,7977,1014,23950
Shi Yomi,707,46,27,780
Siang,464,311,136,911
Tawang,883,228,77,1188
Tirap,897,71,34,1002
Upper Siang,792,16,21,829
Upper Subansiri,1089,293,53,1435
West Kameng,1752,356,42,2150
West Siang,1143,369,104,1616
