District,Inactive BCs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated SB accounts,RuPay card issued in KCC
Anjaw,0.6291935969966687,528.0693238208676,422.1370129434646,3723,6
Changlang,7.029793433794685,8700.811219998113,6927.300985849374,55486,56
Dibang Valley,0.27265688161682594,132.84274273389974,106.0388303936691,3837,19
East Kameng,6.66189172446246,2572.371531448103,1931.6766145798404,27280,20
East Siang,6.995492505456756,8698.092216491863,6788.037690295755,37109,713
Kamle,0,252.9838548028915,197.14217691637052,2706,69
Kra Daadi,1.1458699601137747,607.6972836467431,485.7913620816847,3380,30
Kurung Kumey,1.4694173010595875,437.17692089767297,315.6324190195158,19828,56
Lohit,2.3949407856740423,2281.4381562794156,1794.1211186372477,18847,125
Longding,2.139740578125232,2411.561895507066,1927.7952518275101,8185,0
Lower Dibang Valley,1.4093242858263813,2269.396855037454,1813.99369592918,24358,156
Lower Subansiri,2.7988506112769596,2276.8546932260238,1774.2795922473344,24354,621
Namsai,3.2220597899864294,4222.029801596852,3251.1846958621154,34491,476
Pakke Kessang,0.09844783745591532,118.85929613033134,95.01576017705051,2171,0
Papum Pare,10.296381020782922,10244.234138866974,7093.889075179398,111771,2159
Shi Yomi,0,10.681799488836969,0,1959,1
Siang,0.7443447779724921,769.2837777324223,614.9631144792435,2844,30
Tawang,0.9836491689918119,871.6348382890967,523.2076990141506,21422,61
Tirap,2.4370839392142125,3055.965726488176,2364.5261887197375,26324,24
Upper Siang,2.836327451134249,485.3421258655197,382.08134933941386,20040,46
Upper Subansiri,4.918955818353318,3479.7418443907627,2590.7320099255585,28657,204
West Kameng,1.9412135902998733,2589.268196094081,1994.3994366575012,32433,206
West Siang,8.574364941405397,6738.661761166842,5221.053919924888,43226,376
