District,Agriculture (NPS),MSME (NPS),Export Credit (NPS),Education (NPS),Housing (NPS),Personal Loans under NPS,Others NPS,Total ACP (NPS)
Anjaw,0,0,0,0,0,6,0,6
Changlang,0,0,0,0,1,41,1,43
Dibang Valley,0,0,0,0,0,1,15,16
East Kameng,0,0,0,0,27,14,14,55
East Siang,3,6,0,0,21,230,585,845
Kamle,0,0,0,0,1,1.545,1.53,3.465
Kra Daadi,0,0,0,0,0,1,0,1
Kurung Kumey,0,0,0,0,0,5,25,30
Lohit,0,0,0,0,2,50,7,59
Longding,0,0,0,0,0,18,0,18
Lower Dibang Valley,0,0,0,0,0,76,147,223
Lower Subansiri,0,0,0,0,25,101.455,100.47,227.535
Namsai,1,0,0,0,2,35,224,262
Pakke Kessang,0,0,0,0,2,6,0,8
Papum Pare,5,15,0,4,359,861,2511,3755
Shi Yomi,0,0,0,0,0,0,11,11
Siang,0,0,0,0,0,26,12,38
Tawang,0,0,0,0,3,90,240,333
Tirap,1,0,0,0,0,27,0,28
Upper Siang,0,0,0,0,0,22,9,31
Upper Subansiri,0,0,0,0,33,53,42,128
West Kameng,1,0,0,0,7,110,412,530
West Siang,0,3,0,0,81,152,168,404
