District,Rural No,Urban No,Male No,Female No,Total PMJDY No.,No of Zero Balance A/c,Amt Deposits held in the A/c,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Anjaw,1779,0,782,997,1779,68,128.54,1737,1598,700
Changlang,44058,698,20179,24570,44749,3465,1375.24,44904,38416,12232
Dibang Valley,499,30,288,242,530,41,88.38,378,254,268
East Kameng,0,11166,6767,8060,14827,1439,716.63,11495,11286,3570
East Siang,26913,24973,25407,27132,52539,5308,2519.03,50873,40793,13884
Kamle,525,799.7,636.7,816.3,1453,48.3,109.06,1357.5,997.4,457.2
Kra Daadi,3007,0,1122,1883,3005,31,225.53,3842,2166,772
Kurung Kumey,2872,1117,1946,2040,3986,579,297.52,3484,1742,1036
Lohit,3031,8473,5203,6564,11767,1112,534.86,11011,8875,5025
Longding,10488,0,3642,6845,10487,522,356.31,10390,9441,4427
Lower Dibang Valley,2040,11962,6329,7673,14002,1010,602.51,13780,10108,6418
Lower Subansiri,4725,7197.3,5730.3,7346.7,13077,434.7,981.54,12217.5,8976.6,4114.8
Namsai,5551,16045,10121,11509,21630,567,1282.85,21656,19363,11994
Pakke Kessang,332,0,162,170,332,17,12.54,272,70,150
Papum Pare,14170,42683,26875,33687,60562,6383,45647.08,57845,43816,26382
Shi Yomi,293,0,152,141,293,107,6.73,49,49,49
Siang,4746,0,2484,2260,4744,137,342.83,3872,3473,1334
Tawang,2256,2107,2379,2351,4730,356,497.76,4203,2586,2051
Tirap,15346,0,6374,8967,15341,592,771.22,15264,12805,6887
Upper Siang,3815,251,1866,2200,4066,250,325.16,2120,1792,2449
Upper Subansiri,3726,17155,9865,11003,20868,2426,1617.31,19359,14266,5402
West Kameng,14723,47,6743,8026,14769,930,1000.24,14262,10125,5404
West Siang,26530,14196,19448,21270,40718,2804,2151.72,33290,28605,8973
