District,Export,Education PS,Housing PS,Social Infra,Renewable,Other PS,OPS
Anjaw,0,0,2,0,0,0,2
Changlang,0,18,18,0,0,42,78
Dibang Valley,0,0,3,0,0,4,7
East Kameng,0,2,45,0,0,22,69
East Siang,0,28,86,2,0,186,302
Kamle,0,0.55,2.375,0,0,4.35,7.2749999999999995
Kra Daadi,0,0,0,0,0,0,0
Kurung Kumey,0,0,11,0,0,20,31
Lohit,0,9,14,4,0,27,54
Longding,0,6,0,0,0,0,6
Lower Dibang Valley,0,7,5,0,0,47,59
Lower Subansiri,0,21.45,92.625,0,0,169.65,283.725
Namsai,0,9,20,1,0,44,74
Pakke Kessang,0,2,23,0,0,0,25
Papum Pare,0,216,724,8,0,1108,2056
Shi Yomi,0,0,1,0,0,31,32
Siang,0,0,3,0,0,2,5
Tawang,0,3,13,0,0,37,53
Tirap,0,12,15,0,0,18,45
Upper Siang,0,3,7,0,0,78,88
Upper Subansiri,0,13,80,0,0,124,217
West Kameng,0,10,47,1,0,37,95
West Siang,0,23,222,0,0,138,383
