District,Small and Marginal Farmers,Scheduled Caste,Scheduled Tribes,DRI Scheme,Self Help Groups,Women Beneficiaries,Minority Communities,PMJDY,Others,Total Weaker Section
Anjaw,98,1,104,0,0,24,0,0,1,228
Changlang,632,89,339,0,13,217,129,1,46,1466
Dibang Valley,69,2,81,0,0,26,4,0,2,184
East Kameng,41,3,96,0,16,29,4,0,3,192
East Siang,138,41,565,4,147,310,141,77,56,1479
Kamle,13.17,0.39,13.8,0,0,20,3,0,1,51.36
Kra Daadi,48,7,170,0,0,34,4,0,93,356
Kurung Kumey,0,0,9,0,3,1,33,0,1,47
Lohit,1625,10,1663,0,1,708,7,1,5,4020
Longding,179,3,4,0,1,52,220,0,47,506
Lower Dibang Valley,533,74,448,0,3,155,11,0,2,1226
Lower Subansiri,425.83,12.61,446.2,0,4,172,64,8,36,1168.6399999999999
Namsai,931,44,859,0,0,285,809,5,11,2944
Pakke Kessang,198,1,160,0,0,84,21,0,1,465
Papum Pare,3555,168,5901,7,89,2840,4390,204,2450,19604
Shi Yomi,0,0,0,0,18,0,0,0,0,18
Siang,0,0,31,0,0,0,0,0,1,32
Tawang,55,19,440,0,0,13,111,0,21,659
Tirap,386,1,336,0,3,172,57,0,17,972
Upper Siang,0,0,28,0,68,8,2,0,8,114
Upper Subansiri,40,0,136,1,62,40,38,1,13,331
West Kameng,348,20,812,10,0,70,291,19,60,1630
West Siang,544,20,1109,102,38,237,51,48,68,2217
