District,KCC Disbursement,KCC Outstanding,Rupay card activated,AH KCC Disbursement,AH KCC Outstanding,AH KCC Rupay Card Activated,Fishery KCC Disbursement,Fishery KCC Outstanding,Fishery KCC Rupay card activated
Anjaw,10,132,6,0,0,0,0,0,0
Changlang,144,585,53,0,0,0,1,1,0
Dibang Valley,52,69,15,0,0,0,0,0,0
East Kameng,15,53,18,0,0,0,0,0,0
East Siang,177,965,628,7,8,1,7,7,0
Kamle,2.86,17.9,12.34,0,0,0,0,0,0
Kra Daadi,0,47,30,0,0,0,0,0,0
Kurung Kumey,0,56,56,0,0,0,0,0,0
Lohit,560,1720,126,3,3,0,3,3,0
Longding,45,215,0,0,0,0,0,0,0
Lower Dibang Valley,227,688,150,0,0,0,0,2,0
Lower Subansiri,140.14,877.1,604.66,0,0,0,0,0,0
Namsai,624,992,429,0,0,0,0,0,0
Pakke Kessang,15,194,1,0,0,0,0,0,0
Papum Pare,162,5336,3555,2,12,0,0,2,0
Shi Yomi,0,1,1,0,0,0,0,0,0
Siang,5,44,26,0,0,0,0,0,0
Tawang,6,43,36,0,0,0,0,0,0
Tirap,142,413,14,0,0,0,0,0,0
Upper Siang,12,91,46,0,0,0,0,0,0
Upper Subansiri,60,434,175,0,0,0,0,0,0
West Kameng,75,350,175,27,27,0,3,3,0
West Siang,89,1128,349,4,4,0,0,1,0
