District,NRLM O/S,NRLM Irregular,NRLM NPA,NULM O/S,NULM NPA,PMEGP O/S,PMEGP NPA,SHG O/S,SHG NPA,SUI O/S,SUI NPA
Anjaw,1,1,0,0,0,4,1,0,0,0,0
Changlang,0,0,0,0,0,20,12,50,37,3,6
Dibang Valley,0,0,0,0,0,1,0,0,0,1,0
East Kameng,1,0,0,6,1,13,9,11,1,3,0
East Siang,54,24,18,0,0,38,29,22,6,2,0
Kamle,0,0,0,0,0,3,2,0,0,0,0
Kra Daadi,93,65,0,0,0,72,58,93,0,0,0
Kurung Kumey,1,1,0,0,0,52,40,4,1,0,0
Lohit,1,0,0,0,0,11,0,20,3,2,0
Longding,0,0,0,0,0,2,1,35,35,1,0
Lower Dibang Valley,3,0,0,3,0,4,2,41,1,0,0
Lower Subansiri,0,0,0,0,0,119,71,45,1,4,0
Namsai,2,0,0,3,1,32,7,44,2,2,0
Pakke Kessang,0,0,0,0,0,0,0,0,0,0,0
Papum Pare,247,122,83,54,2,224,130,159,57,86,1
Shi Yomi,0,0,0,0,0,0,0,18,0,0,0
Siang,0,0,0,0,0,19,10,2,0,0,0
Tawang,0,0,0,0,0,22,3,2,0,19,0
Tirap,1,1,0,0,0,9,3,16,12,3,0
Upper Siang,0,0,0,0,0,21,10,75,7,0,0
Upper Subansiri,2,2,1,2,0,97,80,58,6,1,0
West Kameng,0,0,0,3,0,54,27,41,36,17,0
West Siang,78,31,17,0,0,114,79,82,30,2,0
