District,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Anjaw,9,43.11,13,52.44,180,821.15,478,1581.03
Changlang,74,244.92,217,559.4,1347,3219.31,2613,7560.04
Dibang Valley,1,0.18,8,29.85,164,713.5,546,1630.28
East Kameng,8,40.16,14,81.03,550,2529.11,2965,7054.46
East Siang,90,258.22,260,490.87,3271,11372.7,6936,24230.32
Kamle,0,0,1,2.5,57.88,236.88400000000001,249.24,701.4775999999999
Kra Daadi,7,8.58,12,40.97,340,882.39,539,1703.93
Kurung Kumey,1,8,3,22.83,123,544.45,791,2262.87
Lohit,49,110.47,66,182.72,1882,4390.18,3961,9260.23
Longding,5,22.48,10,37.6,116,619.9,152,858.22
Lower Dibang Valley,55,125.84,154,283.5,1034,2818.2,2144,5686.9
Lower Subansiri,35,91.55,96,359.46,1389.12,5685.216,5981.76,16835.4624
Namsai,76,195.08,122,316.82,1428,4943.03,2775,9886.52
Pakke Kessang,5,2.96,12,56.29,135,292.75,316,816.38
Papum Pare,208,919.93,1175,2563.78,7804,44993.85,24695,137705.76
Shi Yomi,0,0,0,0,12,18.56,163,288.38
Siang,8,17,8,37.22,272,966.35,406,1678.73
Tawang,17,59.9,53,128,624,2530.18,1848,7451.61
Tirap,16,53.41,31,149.55,832,2215.81,2846,6308.24
Upper Siang,9,48.15,24,107.08,350,1600.36,1229,3642.49
Upper Subansiri,21,69.12,43,153.94,1171,4521.56,3951,14362.27
West Kameng,48,164.22,102,337.7,1384,4680.63,4231,12358.19
West Siang,74,173.57,111,437.84999999999997,3776,11766.66,8361,29635.81
