District,Sishu No.,Sishu Amt,Kishore No.,Kishore Amt,Tarun No.,Tarun Amt,Total Mudra No.,Total Mudra Amt
Anjaw,0,0,4,16.65,2.8631944444444444,14.923824999999999,6.863194444444444,31.573825
Changlang,141,22.47,13,50.6,10.634722222222221,51.148675000000004,164.63472222222222,124.21867499999999
Dibang Valley,4,0.88,6,18.95,2.8631944444444444,14.926499999999999,12.863194444444444,34.756499999999996
East Kameng,54,6.31,47,117.06,18.40625,91.71237500000001,119.40625,215.082375
East Siang,137,22.78,118,119.47,56.03680555555556,259.33055,311.0368055555556,401.58055
Kamle,6.12,0.802,4.52,13.3232,1.6688333333333332,7.413923,12.308833333333334,21.539123
Kra Daadi,67,6.7,2,6.41,6.9534722222222225,31.150375,75.95347222222222,44.260374999999996
Kurung Kumey,0,0,4,18.75,6.544444444444444,28.876625,10.544444444444444,47.626625000000004
Lohit,94,12.92,86,209.81,38.44861111111111,173.93920000000003,218.44861111111112,396.66920000000005
Longding,12,1.29,9,31.36,5.3173611111111105,26.265825,26.31736111111111,58.915825
Lower Dibang Valley,39,4.58,19,52.1,10.225694444444445,48.43087500000001,68.22569444444444,105.11087500000001
Lower Subansiri,146.88,19.248,108.48,178.7568,40.052,177.93415199999998,295.41200000000003,375.938952
Namsai,29,4.45,43,111.41,18.40625,92.91612500000001,90.40625,208.776125
Pakke Kessang,3,0.77,8,26.27,4.090277777777778,21.498975,15.090277777777779,48.538975
Papum Pare,786,111.48,336,272.72,195.92430555555555,953.238925,1317.9243055555555,1337.438925
Shi Yomi,0,0,0,0,0,0,0,0
Siang,1,0.1,11,37.66,4.499305555555555,18.3826,16.499305555555555,56.1426
Tawang,52,11.09,58,112.13,19.633333333333336,102.37,129.63333333333333,225.59
Tirap,67,6.89,19,54.29,14.315972222222221,69.40555,100.31597222222223,130.58555
Upper Siang,15,1.9,19,66.14,14.315972222222221,67.000725,48.31597222222222,135.040725
Upper Subansiri,36,5.63,76,122.08,8.589583333333334,40.3069,120.58958333333334,168.0169
West Kameng,99,14.86,130,116.18,40.49375,203.366875,269.49375,334.406875
West Siang,263,30.61,102,118.3,68.71666666666667,327.754375,433.7166666666667,476.66437499999995
