district,BHIM/UPI,BHIM Aadhaar,Bharat QR Code,IMPS,Cards (Debit & Credit),USSD
Anjaw,0,92679,0,2,7,22857
Changlang,0,1275774,0,4,4081,319973
Dibang Valley,0,36927,0,0,2142,12685
East Kameng,848,272246,0,405,20349,73917
East Siang,60079333,1200796,21,8480584,39348,367702
Kamle,1287.3,22989.66,0,124.44,146.88,4848.04
Kra Daadi,0,101936,0,0,14,23123
Kurung Kumey,0,63026,0,0,17220,19773
Lohit,1159,530229,0,639,2251,125625
Longding,0,383121,0,0,96,59879
Lower Dibang Valley,45969912,392105,2,6568736,28090,120333
Lower Subansiri,41622.7,743332.34,0,6097.56,7197.12,237553.96
Namsai,0,633579,0,4,2423,173764
Pakke Kessang,0,74073,0,0,1,20695
Papum Pare,150604249,3663942,648,30210429,254071,1650448
Shi Yomi,0,0,0,0,1860,0
Siang,0,106265,0,0,1,25350
Tawang,37340297,325136,1,4384991,24439,109835
Tirap,0,612630,0,33,1438,145167
Upper Siang,0,195680,0,0,6806,51380
Upper Subansiri,486,386216,0,275,15161,102353
West Kameng,37153,933634,1,4978,7334,294157
West Siang,40938,1162819,45,8508,13227,315211
