district,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Anjaw,12471,2703,4084
Changlang,120463,45174,54295
Dibang Valley,6771,3551,4153
East Kameng,68574,26648,27292
East Siang,156071,67284,42629
Kamle,2458.53,1021.86,756.6
Kra Daadi,9018,2553,3009
Kurung Kumey,25160,18731,17496
Lohit,48369,19175,18013
Longding,29444,6677,9429
Lower Dibang Valley,51450,25478,21512
Lower Subansiri,79492.47,33040.14,24463.4
Namsai,63102,34541,30435
Pakke Kessang,4185,1713,1305
Papum Pare,361896,182929,169793
Shi Yomi,2137,1959,1959
Siang,17140,6374,3378
Tawang,54337,18378,20961
Tirap,35957,14253,11030
Upper Siang,39213,24076,17417
Upper Subansiri,82498,41645,30091
West Kameng,80146,29248,29770
West Siang,153849,67263,46942
