District,Target,Self-Help Group,NRLM O/S,NRLM Irregular A/C,NRLM NPA
Anjaw,2,0,1,1,0
Changlang,0,0,0,0,0
Dibang Valley,4,0,0,0,0
East Kameng,10,1,1,0,0
East Siang,67,16,54,24,18
Kamle,0,1,0,0,0
Kra Daadi,15,93,93,65,0
Kurung Kumey,9,1,1,1,0
Lohit,27,18,1,0,0
Longding,0,0,0,0,0
Lower Dibang Valley,64,34,3,0,0
Lower Subansiri,83,38,0,0,0
Namsai,78,29,2,0,0
Pakke Kessang,2,0,0,0,0
Papum Pare,52,84,247,122,83
Shi Yomi,5,0,0,0,0
Siang,60,2,0,0,0
Tawang,21,0,0,0,0
Tirap,0,1,1,1,0
Upper Siang,35,0,0,0,0
Upper Subansiri,41,52,2,2,1
West Kameng,17,4,0,0,0
West Siang,78,15,78,31,17
