district,Housing Loan (PS) O/S,Housing Loan (NPS) O/S,Rural Housing Loan O/S,Housing Loan Eligible under PMAY O/S,Current Year Disbursed under PMAY,PMAY O/S
Anjaw,1,0,1,0,0,0
Changlang,18,4,13,0,0,0
Dibang Valley,3,0,0,0,0,0
East Kameng,45,59,0,0,0,0
East Siang,74,24,7,5,5,5
Kamle,2,0,2,0,0,0
Kra Daadi,0,0,0,0,0,0
Kurung Kumey,11,0,0,0,0,0
Lohit,14,1,0,2,2,2
Longding,0,0,0,1,0,1
Lower Dibang Valley,5,0,3,2,0,2
Lower Subansiri,93,28,11,1,0,1
Namsai,22,2,12,4,4,4
Pakke Kessang,23,1,24,0,0,0
Papum Pare,566,687,219,20,21,20
Shi Yomi,2,1,2,0,0,0
Siang,3,0,3,0,0,0
Tawang,13,3,7,0,0,0
Tirap,15,0,4,0,0,0
Upper Siang,7,0,2,0,0,0
Upper Subansiri,79,57,3,0,0,0
West Kameng,46,7,29,2,0,2
West Siang,223,54,82,5,0,5
