district,Crop Loan,Forestry and Wasteland Dev.,Water Resource,Farm Mechanization,Plantation & Horticulture,Animal Husbandry,Fishery,Farm Credit Others,Agri. Infrastructure,Ancillary Activities,Total Agri Disbursement
Anjaw,11,0,0,0,0,0,0,0,0,0,11
Changlang,161,0,0,0,0,0,0,22,0,0,183
Dibang Valley,57,0,0,0,0,0,0,0,0,0,57
East Kameng,18,0,0,0,0,0,0,0,0,0,18
East Siang,324,0,0,0,0,48,0,13,3,0,388
Kamle,5.814,0,0,0,0,0,0,0.038,0,0.11399999999999999,5.966
Kra Daadi,93,0,0,0,0,0,0,0,0,0,93
Kurung Kumey,10,0,0,0,0,2,0,0,0,0,12
Lohit,640,0,0,0,0,0,0,1,0,1,642
Longding,58,0,0,0,0,0,0,1,0,0,59
Lower Dibang Valley,309,0,0,0,0,0,0,2,0,0,311
Lower Subansiri,323.186,0,0,0,0,0,0,11.962,1,0.886,337.034
Namsai,842,0,0,0,0,0,0,55,0,0,897
Pakke Kessang,99,0,0,0,0,0,0,0,0,0,99
Papum Pare,371,0,0,0,0,192,2,39,4,18,626
Shi Yomi,1,0,0,0,0,0,0,0,0,0,1
Siang,10,0,0,0,0,0,0,22,0,0,32
Tawang,27,0,0,0,0,0,0,9,0,6,42
Tirap,157,0,0,0,0,0,0,0,0,0,157
Upper Siang,42,0,0,0,0,0,0,0,0,0,42
Upper Subansiri,153,0,0,0,0,0,0,1,0,3,157
West Kameng,174,0,0,0,0,2,0,5,1,6,188
West Siang,248,0,0,0,0,0,0,17,4,0,269
