District,Target,No. of applications Sponsored,Sanctioned,Not disbursed,Disbursed,Picked up by Bank,At market place,Withdrawn/ Rejected,Pending
Anjaw,10,10,2,,2,7,,1,7
Changlang,160,483,95,2,93,152,1,235,153
Dibang Valley,,2,0,,,,2,,2
East Kameng,98,98,68,19,49,27,1,2,28
East Siang,294,329,167,75,92,65,6,91,71
Kamle,50,0,0,,,,,,0
Kra Daadi,80,92,86,5,81,5,,1,5
Kurung Kumey,165,2,0,,,1,,1,1
Lepa Rada,55,49,38,,38,8,1,2,9
Lohit,30,201,110,21,89,89,1,1,90
Longding,70,0,0,,,,,,0
Lower Dibang Valley,120,119,65,18,47,34,,20,34
Lower Siang,,0,0,,,,,,0
Lower Subansiri,220,243,146,15,131,45,2,50,47
Namsai,105,125,24,5,19,46,1,54,47
Pakke Kessang,,0,0,,,,,,0
Papum Pare,385,696,497,36,461,105,,94,105
Shi Yomi,,1,0,,,,,1,0
Siang,18,24,3,,3,11,,10,11
Tawang,81,81,48,19,29,32,,1,32
Tirap,140,496,80,9,71,103,,313,103
Upper Siang,130,104,88,68,20,9,,7,9
Upper Subansiri,283,304,70,17,53,220,11,3,231
West Kameng,90,62,53,12,41,8,,1,8
West Siang,550,1131,377,173,204,496,26,232,522
