District,Enrolment under PMJJBY,eligible cases under PMJJBY,renewals under PMJJBY,Enrolment under PMSBY,eligible cases under PMSBY,renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Anjaw,700,7664,244,1130,10584,388,12,1842
Changlang,4903,47494,1626,15192,71075,5856,1195,21290
Dibang Valley,726,3125,355,922,4147,422,25,1673
East Kameng,875,25946,226,1430,33309,476,249,2554
East Siang,5842,88769,2456,14941,115975,5114,1529,22312
Kamle,759.6,8292.24,373.5,1010.34,10749.96,527.22,56.7,1826.64
Kra Daadi,261,5093,92,386,7411,145,6,653
Kurung Kumey,379,5837,79,527,8077,134,89,995
Lohit,4165,25434,1452,7048,34537,2937,377,11590
Longding,392,15821,120,1640,24010,733,29,2061
Lower Dibang Valley,3398,21815,1047,5478,30436,1621,878,9754
Lower Subansiri,3460.4,37775.76,1701.5,4602.66,48972.04,2401.7799999999997,258.3,8321.36
Namsai,5347,23279,1888,14095,34808,5734,1434,20876
Pakke Kessang,84,2519,41,103,3664,50,1,188
Papum Pare,18526,167082,9747,31283,213047,16589,4362,54171
Shi Yomi,697.5,8117.4,255.1,1677.1,10745.3,553.8,119.4,2494
Siang,661,12419,266,1236,16359,252,146,2043
Tawang,5021,31288,2428,7455,39259,4144,437,12913
Tirap,1517,19552,688,2293,28522,937,117,3927
Upper Siang,1657,18854,821,2414,25238,1280,86,4157
Upper Subansiri,3610,41112,1812,4837,53356,2613,203,8650
West Kameng,7542,48817,3355,11173,64474,4936,884,19599
West Siang,6277.5,73056.6,2295.9,15093.9,96707.7,4984.2,1074.6,22446
