district,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No,Agri Total
Anjaw,100,0,0,0,100
Changlang,594,452,0,0,1046
Dibang Valley,69,88,0,0,157
East Kameng,80,1545,0,0,1625
East Siang,1331,991,56,0,2378
Kamle,42.75,66.61399999999999,0.038,0.11399999999999999,109.51599999999999
Kra Daadi,140,0,0,0,140
Kurung Kumey,56,270,0,0,326
Lohit,1753,457,0,1,2211
Longding,215,42,0,0,257
Lower Dibang Valley,699,226,0,2,927
Lower Subansiri,1082.25,1686.386,0.962,2.886,2772.484
Namsai,1118,406,15,10,1549
Pakke Kessang,195,3,0,0,198
Papum Pare,7274,3043,102,17,10436
Shi Yomi,1,46,0,0,47
Siang,44,22,0,0,66
Tawang,121,80,0,6,207
Tirap,433,1308,0,0,1741
Upper Siang,91,139,0,0,230
Upper Subansiri,559,824,0,6,1389
West Kameng,563,934,1,6,1504
West Siang,1086,855,4,3,1948
