District,Target,"Forwarded to
Bank No of
Prj.","MM
Involve (In
Lakh)","Sanctioned by
Bank No of Prj.","MM
Involve (In
Lakh)","%
Sanction No.","Margin Money
Claimed No of Prj.","MM (In
Lakh)","Disbursement
Made No of Prj.","MM (In
Lakh)","%
Disburse
ment No.","No of Application
Rejected by Bank No of
Prj.","MM
Involve (In
Lakh)","Pending at Bank No of
Prj.","MM
Involve (In
Lakh)"
Araria,2,0,0,0,0,0.00,1,4.75,0,0,0.00,0,0,0,0
Arwal,2,1,11.49,0,0,0.00,0,0,0,0,0.00,0,0,1,11.49
Aurangabad,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Banka,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Begusarai,2,2,4.5,0,0,0.00,0,0,0,0,0.00,0,0,2,4.5
Bhagalpur,3,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Bhojpur,2,2,4,0,0,0.00,0,0,0,0,0.00,0,0,2,3.76
Buxar,2,1,15,0,0,0.00,2,2.19,0,0,0.00,0,0,1,15
Darbhanga,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Gaya,3,2,11.5,0,0,0.00,0,0,0,0,0.00,0,0,2,11
Gopalganj,2,0,0,1,3.75,50.00,1,13.98,0,0,0.00,0,0,0,0
Jamui,2,0,0,0,0,0.00,1,1.65,1,1.65,50.00,0,0,0,0
Jehanabad,2,0,0,0,0,0.00,0,0,1,7.5,50.00,0,0,0,0
Kaimur (Bhabua),(BHABHUA),2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0
Katihar,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Khagaria,2,0,0,0,0,0.00,1,1,0,0,0.00,0,0,0,0
Kishanganj,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Lakhisarai,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Madhepura,2,2,5.5,1,1.5,50.00,0,0,0,0,0.00,0,0,1,3.55
Madhubani,2,1,10.5,0,0,0.00,0,0,0,0,0.00,0,0,1,10.5
Munger,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Muzaffarpur,4,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Nalanda,2,0,0,0,0,0.00,2,5.25,0,0,0.00,0,0,0,0
Nawada,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Pashchim Champaran,3,8,34.3,3,21,100.00,1,6.25,0,0,0.00,1,2.55,5,18
Patna,3,0,0,0,0,0.00,1,1.17,1,1.17,33.33,0,0,0,0
Purbi Champaran,2,5,22.75,0,0,0.00,2,2.25,1,0.75,50.00,1,2.7,4,19.95
Purnia,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Rohtas,2,1,7.5,0,0,0.00,0,0,0,0,0.00,0,0,1,7.5
Saharsa,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Samastipur,3,2,15.5,0,0,0.00,0,0,0,0,0.00,1,3,1,12.48
Saran,2,2,9,0,0,0.00,3,14.25,0,0,0.00,0,0,2,9
Sheikhpura,2,0,0,0,0,0.00,1,15,0,0,0.00,0,0,0,0
Sheohar,2,1,1.5,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Sitamarhi,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0
Siwan,2,1,1.5,0,0,0.00,1,0.72,0,0,0.00,0,0,1,1.5
Supaul,2,1,1.5,0,0,0.00,0,0,0,0,0.00,0,0,1,1.5
Vaishali,2,3,8.27,0,0,0.00,0,0,0,0,0.00,0,0,3,8.5
